MAGs	d	p	c	o	f	g	s
GFS_13645	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__PMG-095	s__
GFS_13693	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Byssovorax	s__
GFS_13757	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GFS_13875	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__UBA2376	s__
GFS_13965	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Archangium_A	s__
GFS_14252	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GFS_14456	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
GFS_1762	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Sandaracinaceae	g__	s__
GFS_2040	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__SXNL01	s__
GFS_2136	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Archangium_A	s__
GFS_2151	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
GFS_2319	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__	s__
GFS_2591	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GFS_3216	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GFS_3307	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Labilithrix	s__
GFS_3369	d__Bacteria	p__Myxococcota	c__Polyangia	o__Palsa-1104	f__Palsa-1104	g__	s__
GFS_3383	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__JADKCZ01	s__
GFS_4088	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__SZUA-265	s__
GFS_4138	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GFS_4219	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GFS_4522	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__40CM-4-68-19	g__CAIWCD01	s__
GFS_4681	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GFS_4902	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GFS_4936	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Byssovorax	s__
GFS_5683	d__Bacteria	p__Myxococcota	c__UBA727	o__UBA727	f__VGSZ01	g__JACOUT01	s__
GFS_5931	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
GFS_6107	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
GFS_6217	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Labilithrix	s__
GFS_6350	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Labilithrix	s__
GFS_6430	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Archangium_A	s__
GFS_6713	d__Bacteria	p__Myxococcota	c__Polyangia	o__Palsa-1104	f__Palsa-1104	g__	s__
GFS_6721	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
GFS_6863	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GFS_913	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__JAEUJT01	s__
GFS_9240	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__JAAFHV01	s__
GFS_9422	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__PALSA-1152	s__
GFS_9516	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__SXNL01	s__
GFS_9826	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GFS_9957	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__40CM-4-68-19	g__	s__
GL111_DN_concoct_63	d__Bacteria	p__Myxococcota	c__Polyangia	o__Palsa-1104_A	f__	g__	s__
GL122_DN_metabat_25	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GL122_DN_metabinner_12_sub	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__	s__
GL122_UP_concoct_204	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Byssovorax	s__
GL124_DN_concoct_140	d__Bacteria	p__Myxococcota	c__Polyangia	o__Palsa-1104_A	f__Fen-1088	g__	s__
GL124_DN_metabinner_4	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Archangium_A	s__
GL124_UP_concoct_186	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__	s__
GL124_UP_concoct_207	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
GL124_UP_metabat_8_sub	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GL132_DN_concoct_262	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__	s__
GL132_UP_concoct_56	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__JAAFHJ01	s__
GL133_UP_concoct_53	d__Bacteria	p__Myxococcota	c__Polyangia	o__Nannocystales	f__Nannocystaceae	g__Nannocystis	s__
GL135_DN_metabat_53_sub	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Byssovorax	s__
GL135_UP_concoct_13	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__	s__
GL137_UP_concoct_56	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
GL139_UP_concoct_236_sub	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__JADJCA01	s__
GL139_UP_concoct_52_sub	d__Bacteria	p__Myxococcota	c__Polyangia	o__Palsa-1104	f__Palsa-1104	g__	s__
GL139_UP_metabinner_1	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__PMG-095	s__
GL139_UP_metabinner_22_sub	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__JAFGIB01	g__	s__
GL140_1_concoct_178_sub	d__Bacteria	p__Myxococcota	c__Polyangia	o__Palsa-1104_A	f__Fen-1088	g__	s__
GL140_2_concoct_166	d__Bacteria	p__Myxococcota	c__Polyangia	o__Palsa-1104_A	f__Fen-1088	g__	s__
GL140_2_concoct_333	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__PALSA-1152	s__
GL140_3_metabinner_64	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__40CM-4-68-19	g__40CM-4-68-19	s__
GL140_4_concoct_80	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__JADKCZ01	s__
GL30_UP_concoct_163	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__	s__
GL30_UP_concoct_80	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Sandaracinaceae	g__JAFLCL01	s__
GL34_UP_concoct_60	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Labilithrix	s__
GL35_DN_concoct_158	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__JAEUJT01	s__
GL44_UP_metabat_111	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Archangium_A	s__
GL47_Up_concoct_181_sub	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
GL54_UP_metabinner_5	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
GL56_Down_metabat_34	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
GL65_DN_concoct_113	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Archangium_A	s__
GL73_DN_concoct_207_sub	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
GL73_DN_concoct_64	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__	s__
GL74_DN_concoct_155_sub	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__	s__
GL74_UP_metabinner_87_sub	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__SXNL01	s__
GL82_DN_concoct_89_sub	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
GL85_DN_concoct_11	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GL85_DN_concoct_3	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GL85_DN_concoct_37	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GL85_UP_concoct_158	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
GL92_UP_metabat_154	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__40CM-4-68-19	g__40CM-4-68-19	s__
GL93_DN_concoct_103_sub	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__40CM-4-68-19	g__CAIWCD01	s__
GL93_UP_concoct_182	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__JADKCZ01	s__
GL93_UP_concoct_57_sub	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__40CM-4-68-19	g__	s__
GL93_UP_metabinner_28_sub	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__40CM-4-68-19	g__40CM-4-68-19	s__
GL94_UP_concoct_149	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
GL97_UP_metabat_16	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__SZUA-265	s__
GLR19_GL16_UP_3_concoct_63	d__Bacteria	p__Myxococcota	c__UBA727	o__UBA727	f__VGSZ01	g__VGSZ01	s__
GLR20_GL16_DN_1_concoct_109	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__JAAFHJ01	s__
GLR21_GL16_DN_2_concoct_140	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__JAAFHJ01	s__
GLR80_GL56_UP_1_concoct_69	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
GLR81_GL56_UP_2_concoct_103	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__JAAFHV01	s__
GFS_1365	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__UBA4427	g__JADJOR01	s__
GL117_UP_concoct_174	d__Bacteria	p__Myxococcota_A	c__UBA9160	o__UBA9160	f__UBA4427	g__JADJOR01	s__
GL26_UP_concoct_141	d__Bacteria	p__Myxococcota_A	c__UBA796	o__UBA796	f__SXON01	g__	s__
GFS_1694	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__SKIA01	g__	s__
GL47_Up_metabinner_3	d__Archaea	p__Nanoarchaeota	c__Nanoarchaeia	o__Woesearchaeales	f__SKIA01	g__	s__
340R_metabat_103	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
GFS_11242	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
GFS_11851	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
GFS_2724	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
GFS_2908	d__Bacteria	p__Nitrospirota	c__UBA9217	o__UBA9217	f__UBA9217	g__GWC2-56-14	s__
GFS_4045	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira_F	s__
GFS_5301	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
GFS_5699	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
GFS_8142	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__JACQBW01	f__JACQBW01	g__JACOTA01	s__
GFS_837	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__Palsa-1315 sp014379455
GFS_8505	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
GL13_UpB_metabat_56_sub	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
GL22_DN_concoct_26	d__Bacteria	p__Nitrospirota	c__UBA9217	o__UBA9217	f__UBA9217	g__GWC2-56-14	s__
GL74_DN_metabinner_7	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
GL96_DN_concoct_71	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__2-01-FULL-66-17	f__2-01-FULL-66-17	g__	s__
GFS_12114	d__Bacteria	p__Omnitrophota	c__Omnitrophia	o__Omnitrophales	f__UBA2337	g__UBA2337	s__
GFS_12873	d__Bacteria	p__Omnitrophota	c__Omnitrophia	o__Omnitrophales	f__UBA2337	g__UBA2337	s__
GFS_2494	d__Bacteria	p__Omnitrophota	c__Omnitrophia	o__Omnitrophales	f__UBA2337	g__UBA2337	s__
GFS_5614	d__Bacteria	p__Omnitrophota	c__Koll11	o__UBA10015	f__GCA-002753745	g__	s__
GFS_5990	d__Bacteria	p__Omnitrophota	c__Koll11	o__UBA10015	f__GCA-002753745	g__JACQCF01	s__
GFS_6130	d__Bacteria	p__Omnitrophota	c__Omnitrophia	o__Omnitrophales	f__UBA2337	g__UBA2337	s__
GFS_8703	d__Bacteria	p__Omnitrophota	c__Koll11	o__UBA10015	f__GCA-002753745	g__	s__
GL74_DN_concoct_188_sub	d__Bacteria	p__Omnitrophota	c__Koll11	o__UBA10015	f__GCA-002753745	g__JACQQW01	s__
GL97_UP_metabat_92	d__Bacteria	p__Omnitrophota	c__Koll11	o__2-02-FULL-51-18	f__2-02-FULL-51-18	g__	s__
GFS_1003	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
GFS_10315	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA10212	g__	s__
GFS_1049	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_10512	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__Moranbacterales	f__UBA2206	g__UBA9630	s__
GFS_10664	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__PALSA-1337	g__C7867-002	s__
GFS_10668	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__Absconditabacterales	f__X112	g__	s__
GFS_10842	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA1547	g__UBA1547	s__
GFS_1093	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_10943	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__UBA8515	s__
GFS_10948	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__UBA9973	s__
GFS_11017	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA6257	f__GWB1-50-10	g__	s__
GFS_112	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__CAIZLB01	g__CAIZLB01	s__
GFS_11475	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
GFS_11518	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JABFSX01	s__
GFS_11876	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__JAGOOR01	g__JAGOOR01	s__
GFS_12037	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__JAACPR01	g__	s__
GFS_12111	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JABFSX01	s__
GFS_12125	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__Absconditabacterales	f__X112	g__	s__
GFS_12135	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__JAGOOR01	g__JAGOOR01	s__
GFS_12189	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_12195	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
GFS_12220	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
GFS_12371	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_12383	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_12411	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
GFS_12429	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__Damh-18	s__
GFS_12447	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
GFS_12610	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_12611	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__Damh-18	s__
GFS_12614	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JAGOMW01	s__
GFS_12617	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
GFS_12623	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
GFS_12632	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__	g__	s__
GFS_12635	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_12637	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_12642	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
GFS_12657	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
GFS_12699	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
GFS_12822	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__JAGOSA01	s__
GFS_12865	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__	g__	s__
GFS_12962	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__Damh-18	s__
GFS_12994	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
GFS_130	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA2103	g__C7867-001	s__
GFS_13148	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
GFS_13250	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
GFS_13261	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA4665	g__	s__
GFS_13345	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
GFS_13365	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_134	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_13420	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JABFSX01	s__
GFS_13516	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__SZUA-47	g__JAGONL01	s__
GFS_13726	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
GFS_1377	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA4665	g__UBA4665	s__
GFS_1383	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA1547	g__UBA1547	s__
GFS_13853	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA4665	g__	s__
GFS_13950	d__Bacteria	p__Patescibacteria	c__	o__	f__	g__	s__
GFS_1408	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA1547	g__UBA1547	s__
GFS_14379	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
GFS_14393	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
GFS_14486	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA2103	g__C7867-001	s__
GFS_1518	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
GFS_1662	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__CAIZLB01	g__CAIZLB01	s__
GFS_1696	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__JACDFO01	g__	s__
GFS_1826	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_1902	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA6899	g__MHLP01	s__
GFS_1994	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JABFSX01	s__
GFS_2100	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__	s__
GFS_2103	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA9973	g__UBA8515	s__
GFS_2183	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__SBAW01	g__GWA1-54-10	s__
GFS_2264	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA4665	g__UBA5150	s__
GFS_2383	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA2100	g__UBA10103	s__
GFS_2430	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__PALSA-1337	g__CAIOGI01	s__
GFS_2649	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
GFS_2750	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__AQU-01	g__AQU-01	s__
GFS_2860	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
GFS_2902	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JABFSX01	s__
GFS_2925	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA2023	g__JABFSX01	s__
GFS_2951	d__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__UBA10212	g__	s__
GFS_3016	d__Bacteria	p__Patescibacteria	c__JACMRA01	o__JACMRA01	f__JACMRA01	g__	s__
GFS_3055	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__BD1-5	f__UBA6164	g__JAACSU01	s__
GFS_3062	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__Absconditabacterales	f__X112	g__	s__
GFS_3093	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_3150	d__Bacteria	p__Patescibacteria	c__JACMRA01	o__JACMRA01	f__	g__	s__
GFS_3221	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_3228	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_3232	d__Bacteria	p__Patescibacteria	c__JAEDAM01	o__Absconditabacterales	f__X112	g__JAGOPC01	s__
GFS_3253	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_3390	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
GFS_3417	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__JAACPR01	g__	s__
GFS_3428	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
GFS_3453	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__UBA11704	s__
GFS_3474	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA5272	g__	s__
GFS_3553	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983_A	f__UBA918	g__OLB19	s__
